Full Name	Assembly Length	Genome_size_for_CANU	# Genes	Sequencing depth	Scaffold N50	Scaffold L50 Mbp	n Gaps	n contigs	n scaffolds	Published	JGI prefix	Host_group	ploidy at time of sequence	JF_ploidy_determination	seq platform	Ecology of Original Collection	Host speices for assays	Range_and_region	Culture code
Suillus pseudogranulatus FC45	"53,289,868"	53.29m	"13,672"	145.76x	50	0.26	0	623	623	This paper	Suipse1	Hard_pine	NA	Dikaryon	PacBio		"Pinus elliottii, Pinus taeda"		FC45
Suillus punctipes FC325	"48,707,271"	48.71m	"14,249"	198.19x	59	0.23	0	579	579	This paper	Suipunc1	Soft_pine	NA	Monokaryon	PacBio				FC325
Suillus pungens FC27	"35,632,633"	35.63m	"12,148"	184.48x	144	0.08	0	841	841	This paper	Suipun1	Hard_pine	NA	NA	"PacBio - Note the transcriptome was contaminated with other fungi, resulting in the somewhat low RNA mapping rate."		Pinus radiata	"West Coast. Mostly coastal California and southern Oregon, although specimens have been found in Alberta, Canada. "	FC27
Suillus quiescens AUS222	"34,152,517"	34.15m	"11,697"	230.13x	6	2.57	0	43	43	This paper	Suqu222_1	Hard_pine	NA	Monokaryon	PacBio				AUS222
Suillus quiescens FC197	"44,533,703"	44.53m	"12,066"	381.57x	12	1.11	0	286	286	This paper	Suiqui1	Hard_pine	Na	Monokaryon	PacBio		"Pinus muricata, Pinus radiata, Pinus ponderosa "	West Coast. California.	FC197
Suillus quiescens FC198	"27,113,927"	27.11m	"12,014"	178.63x	"1,054"	0.01	"3,315"	"10,748"	"7,433"	This paper	Suiqu1	Hard_pine	NA	Dikaryon	"Illumina - Note due to limited material, the genome assembly is not complete and thus RNA mapping rate is low."		"Pinus muricata, Pinus radiata, Pinus ponderosa "	West Coast. California.	FC198
Suillus sp. nov. FC429	"45,274,385"	45.27m	"14,111"	154.7x	21	0.62	0	113	113	This paper	SuiFC429_1	Soft_pine	NA	Monokaryon	PacBio				FC429
Suillus spraguei EM44	"87,086,403"	87.09m	"19,349"	87.09x	186	0.13	0	"1,400"	"1,400"	"Lofgren LA et al., 2021"	Suipic1	Soft_pine	"JGI says Dikaryon, has primary and seconday alleles, note there is illumina and pacbio data avalible for this one"	Dikaryon	PacBio and Illumina				EM44
Suillus subaureus FC162	"57,660,940"	57.66m	"15,740"	64.50x	24	0.68	0	668	668	"Lofgren LA et al., 2021"	Suisub1	Generalist	NA	Dikaryon	PacBio		Pinus strobus	Widwest to the eastern US	FC162
Suillus tomentosus FC115	"53,063,458"	53.06m	"17,198"	88.20x	33	0.52	0	203	203	"Lofgren LA et al., 2021"	Suitom1	Hard_pine	NA	Monokaryon	PacBio		"Pinus contorta, Pinus muricata (Siegel and Schwarz book), Pinus ponderosa (Siegel and Schwarz book)."	Boadly distributed (the most wide spread in the genus).	FC115
Suillus weaverae EM37	"42,341,223"	42.34m	"15,802"	80.3x	24	0.51	1241	1869	628	"Lofgren LA et al., 2021"	Suigr1	Soft_pine	Genome is Dikaryon (Yi-Hong) (JGI NA)	Dikaryon	Illumina				EM37
